Team,Median of Age,Mean of Age,Std of Age,Median of Matches,Mean of Matches,Std of Matches,Median of Starts,Mean of Starts,Std of Starts,Median of Minutes,Mean of Minutes,Std of Minutes,Median of non_penalty_goals,Mean of non_penalty_goals,Std of non_penalty_goals,Median of penalty_goals,Mean of penalty_goals,Std of penalty_goals,Median of assists,Mean of assists,Std of assists,Median of yellow_cards,Mean of yellow_cards,Std of yellow_cards,Median of red_cards,Mean of red_cards,Std of red_cards,Median of xG,Mean of xG,Std of xG,Median of npxG,Mean of npxG,Std of npxG,Median of xAG,Mean of xAG,Std of xAG,Median of PrgC,Mean of PrgC,Std of PrgC,Median of PrgP,Mean of PrgP,Std of PrgP,Median of PrgR,Mean of PrgR,Std of PrgR,Median of per90_Gls,Mean of per90_Gls,Std of per90_Gls,Median of per90_Ast,Mean of per90_Ast,Std of per90_Ast,Median of per90_G+A,Mean of per90_G+A,Std of per90_G+A,Median of per90_G-PK,Mean of per90_G-PK,Std of per90_G-PK,Median of per90_G+A-PK,Mean of per90_G+A-PK,Std of per90_G+A-PK,Median of per90_xG,Mean of per90_xG,Std of per90_xG,Median of per90_xAG,Mean of per90_xAG,Std of per90_xAG,Median of per90_xG+xAG,Mean of per90_xG+xAG,Std of per90_xG+xAG,Median of per90_npxG,Mean of per90_npxG,Std of per90_npxG,Median of per90_npxG+xAG,Mean of per90_npxG+xAG,Std of per90_npxG+xAG,Median of PKatt,Mean of PKatt,Std of PKatt,Median of Gls,Mean of Gls,Std of Gls,Median of Sh,Mean of Sh,Std of Sh,Median of SoT,Mean of SoT,Std of SoT,Median of Sh/90,Mean of Sh/90,Std of Sh/90,Median of SoT/90,Mean of SoT/90,Std of SoT/90,Median of FK,Mean of FK,Std of FK,Median of PK,Mean of PK,Std of PK,Median of xG_shooting,Mean of xG_shooting,Std of xG_shooting,Median of npxG_shooting,Mean of npxG_shooting,Std of npxG_shooting,Median of G-xG,Mean of G-xG,Std of G-xG,Median of np:G-xG,Mean of np:G-xG,Std of np:G-xG,Median of Pass_Cmp,Mean of Pass_Cmp,Std of Pass_Cmp,Median of Pass_Att,Mean of Pass_Att,Std of Pass_Att,Median of Pass_Cmp%,Mean of Pass_Cmp%,Std of Pass_Cmp%,Median of TotDist,Mean of TotDist,Std of TotDist,Median of PrgDist,Mean of PrgDist,Std of PrgDist,Median of Short_Cmp,Mean of Short_Cmp,Std of Short_Cmp,Median of Short_Att,Mean of Short_Att,Std of Short_Att,Median of Short_Cmp%,Mean of Short_Cmp%,Std of Short_Cmp%,Median of Medium_Cmp,Mean of Medium_Cmp,Std of Medium_Cmp,Median of Medium_Att,Mean of Medium_Att,Std of Medium_Att,Median of Medium_Cmp%,Mean of Medium_Cmp%,Std of Medium_Cmp%,Median of Long_Cmp,Mean of Long_Cmp,Std of Long_Cmp,Median of Long_Att,Mean of Long_Att,Std of Long_Att,Median of Long_Cmp%,Mean of Long_Cmp%,Std of Long_Cmp%,Median of Ast,Mean of Ast,Std of Ast,Median of xA,Mean of xA,Std of xA,Median of A-xAG,Mean of A-xAG,Std of A-xAG,Median of KP,Mean of KP,Std of KP,Median of 1/3,Mean of 1/3,Std of 1/3,Median of PPA,Mean of PPA,Std of PPA,Median of CrsPA,Mean of CrsPA,Std of CrsPA,Median of Pass_Live,Mean of Pass_Live,Std of Pass_Live,Median of Pass_Dead,Mean of Pass_Dead,Std of Pass_Dead,Median of Pass_FK,Mean of Pass_FK,Std of Pass_FK,Median of Pass_TB,Mean of Pass_TB,Std of Pass_TB,Median of Pass_Sw,Mean of Pass_Sw,Std of Pass_Sw,Median of Pass_Crs,Mean of Pass_Crs,Std of Pass_Crs,Median of Pass_TI,Mean of Pass_TI,Std of Pass_TI,Median of Pass_CK,Mean of Pass_CK,Std of Pass_CK,Median of Corner_In,Mean of Corner_In,Std of Corner_In,Median of Corner_Out,Mean of Corner_Out,Std of Corner_Out,Median of Corner_Str,Mean of Corner_Str,Std of Corner_Str,Median of Pass_Cmp_outcome,Mean of Pass_Cmp_outcome,Std of Pass_Cmp_outcome,Median of Pass_Off,Mean of Pass_Off,Std of Pass_Off,Median of Pass_Blocks,Mean of Pass_Blocks,Std of Pass_Blocks,Median of SCA,Mean of SCA,Std of SCA,Median of SCA90,Mean of SCA90,Std of SCA90,Median of SCA_type_Passlive,Mean of SCA_type_Passlive,Std of SCA_type_Passlive,Median of SCA_type_Passdead,Mean of SCA_type_Passdead,Std of SCA_type_Passdead,Median of SCA_type_TO,Mean of SCA_type_TO,Std of SCA_type_TO,Median of SCA_type_Sh,Mean of SCA_type_Sh,Std of SCA_type_Sh,Median of SCA_type_Fld,Mean of SCA_type_Fld,Std of SCA_type_Fld,Median of SCA_type_Def,Mean of SCA_type_Def,Std of SCA_type_Def,Median of GCA,Mean of GCA,Std of GCA,Median of GCA90,Mean of GCA90,Std of GCA90,Median of GCA_type_Passlive,Mean of GCA_type_Passlive,Std of GCA_type_Passlive,Median of GCA_type_Passdead,Mean of GCA_type_Passdead,Std of GCA_type_Passdead,Median of GCA_type_TO,Mean of GCA_type_TO,Std of GCA_type_TO,Median of GCA_type_Sh,Mean of GCA_type_Sh,Std of GCA_type_Sh,Median of GCA_type_Fld,Mean of GCA_type_Fld,Std of GCA_type_Fld,Median of GCA_type_Def,Mean of GCA_type_Def,Std of GCA_type_Def,Median of Tkl,Mean of Tkl,Std of Tkl,Median of TklW,Mean of TklW,Std of TklW,Median of Def_3rd,Mean of Def_3rd,Std of Def_3rd,Median of Mid_3rd,Mean of Mid_3rd,Std of Mid_3rd,Median of Att_3rd,Mean of Att_3rd,Std of Att_3rd,Median of Challenges_Tkl,Mean of Challenges_Tkl,Std of Challenges_Tkl,Median of Challenges_Att,Mean of Challenges_Att,Std of Challenges_Att,Median of Challenges_Lost,Mean of Challenges_Lost,Std of Challenges_Lost,Median of Blocks,Mean of Blocks,Std of Blocks,Median of Blocks_Sh,Mean of Blocks_Sh,Std of Blocks_Sh,Median of Blocks_Pass,Mean of Blocks_Pass,Std of Blocks_Pass,Median of Blocks_Int,Mean of Blocks_Int,Std of Blocks_Int,Median of Blocks_Tkl+Int,Mean of Blocks_Tkl+Int,Std of Blocks_Tkl+Int,Median of Blocks_Clr,Mean of Blocks_Clr,Std of Blocks_Clr,Median of Blocks_Err,Mean of Blocks_Err,Std of Blocks_Err,Median of Touches,Mean of Touches,Std of Touches,Median of Def_Pen,Mean of Def_Pen,Std of Def_Pen,Median of Att_Pen,Mean of Att_Pen,Std of Att_Pen,Median of Live_Touches,Mean of Live_Touches,Std of Live_Touches,Median of Take_Att,Mean of Take_Att,Std of Take_Att,Median of Take_Succ,Mean of Take_Succ,Std of Take_Succ,Median of Take_Tkld,Mean of Take_Tkld,Std of Take_Tkld,Median of Carries,Mean of Carries,Std of Carries,Median of Carries_TotDist,Mean of Carries_TotDist,Std of Carries_TotDist,Median of Carries_ProDist,Mean of Carries_ProDist,Std of Carries_ProDist,Median of Carries_ProgC,Mean of Carries_ProgC,Std of Carries_ProgC,Median of Carries_1/3,Mean of Carries_1/3,Std of Carries_1/3,Median of Carries_CPA,Mean of Carries_CPA,Std of Carries_CPA,Median of Carries_Mis,Mean of Carries_Mis,Std of Carries_Mis,Median of Carries_Dis,Mean of Carries_Dis,Std of Carries_Dis,Median of Rec,Mean of Rec,Std of Rec,Median of Rec_PrgR,Mean of Rec_PrgR,Std of Rec_PrgR,Median of PT_Starts,Mean of PT_Starts,Std of PT_Starts,Median of PT_Compl,Mean of PT_Compl,Std of PT_Compl,Median of Subs,Mean of Subs,Std of Subs,Median of Subs_unSub,Mean of Subs_unSub,Std of Subs_unSub,Median of Fls,Mean of Fls,Std of Fls,Median of Fld,Mean of Fld,Std of Fld,Median of Off,Mean of Off,Std of Off,Median of Crs,Mean of Crs,Std of Crs,Median of OG,Mean of OG,Std of OG,Median of Recov,Mean of Recov,Std of Recov,Median of Aerial_Won,Mean of Aerial_Won,Std of Aerial_Won,Median of Aerial_Lost,Mean of Aerial_Lost,Std of Aerial_Lost,Median of Aerial_Won%,Mean of Aerial_Won%,Std of Aerial_Won%
all,25.00,25.50,4.13,23.00,22.66,10.14,16.00,16.94,11.17,1419.00,1518.37,949.24,1.00,2.23,3.35,0.00,0.19,0.84,1.00,1.74,2.47,3.00,3.32,2.84,0.00,0.12,0.34,1.10,2.44,3.57,1.10,2.26,3.11,1.00,1.76,2.21,17.00,28.85,32.30,44.00,59.21,57.41,30.00,58.65,71.20,0.07,0.14,0.19,0.05,0.10,0.14,0.15,0.24,0.27,0.07,0.13,0.18,0.15,0.23,0.25,0.08,0.15,0.18,0.07,0.10,0.11,0.17,0.25,0.24,0.08,0.14,0.17,0.17,0.25,0.23,0.00,0.22,0.93,1.00,2.44,3.82,12.00,21.01,23.11,4.00,7.20,9.10,1.03,1.30,1.10,0.29,0.45,0.46,0.00,0.58,1.81,0.00,0.19,0.84,1.10,2.45,3.59,1.10,2.28,3.14,-0.10,-0.02,1.40,-0.10,-0.04,1.38,1997.00,1997.11,4.13,15.80,16.87,10.54,494.00,634.12,549.78,627.00,785.56,633.88,78.60,78.17,8.29,2312.00,3810.48,4160.22,244.00,305.00,263.64,276.00,341.34,283.15,88.50,87.99,6.84,174.00,258.60,254.70,212.00,298.34,275.03,84.30,82.70,10.32,31.00,54.06,63.77,59.00,104.05,132.41,1.00,1.75,2.50,0.90,1.55,1.89,-0.10,-0.01,1.13,9.00,15.95,18.46,29.00,47.22,50.30,8.00,13.69,16.14,1.00,2.85,4.36,567.00,712.93,584.04,38.00,69.68,87.21,8.00,18.86,27.44,1.00,2.68,4.54,2.00,4.06,5.94,10.00,26.54,42.28,5.00,27.29,54.77,0.00,8.29,23.05,0.00,4.06,11.76,0.00,2.43,8.81,0.00,0.20,0.93,494.00,634.12,549.78,2.00,2.95,3.11,12.00,14.75,13.30,25.00,37.29,37.55,2.11,2.25,1.49,19.00,27.32,26.84,0.00,3.10,7.64,1.00,2.17,3.42,1.00,2.43,2.94,1.00,1.55,2.26,0.00,0.73,1.13,3.00,4.18,4.98,0.19,0.25,0.26,2.00,2.95,3.55,0.00,0.26,0.80,0.00,0.30,0.74,0.00,0.32,0.72,0.00,0.26,0.64,0.00,0.08,0.30,21.00,27.06,23.81,13.00,15.90,14.22,175.00,314.75,348.22,315.00,409.62,369.06,170.00,243.57,239.56,9.00,12.57,12.08,21.00,25.67,22.76,10.00,13.10,12.19,16.00,18.79,15.36,3.00,5.97,7.95,11.00,12.82,10.86,9.00,12.74,12.69,30.00,39.80,34.82,18.00,31.45,36.12,0.00,0.67,1.10,809.00,959.06,715.44,36.00,106.92,201.03,23.00,40.42,47.68,809.00,958.84,715.32,17.00,28.71,32.87,8.00,13.07,15.41,7.00,12.57,14.92,455.00,548.77,435.14,2331.00,2897.20,2277.67,1148.00,1489.47,1257.26,17.00,28.77,32.26,14.00,20.22,19.82,3.00,9.25,16.08,15.00,21.71,20.95,9.00,14.51,16.07,511.00,627.81,507.76,30.00,58.95,71.81,16.00,16.90,11.19,8.00,10.73,10.24,5.00,5.74,5.22,2.00,4.83,6.36,12.00,16.44,15.71,1.00,2.95,4.66,10.00,26.54,42.28,9.00,12.74,12.69,13.00,15.90,14.22,0.00,0.19,0.54,0.00,0.22,0.47,0.00,0.10,0.33,62.00,74.02,55.74
Arsenal,24.00,24.76,2.55,27.00,26.81,10.19,18.00,19.86,13.09,1649.00,1781.57,1102.75,2.00,3.62,3.98,0.00,0.48,1.36,2.00,2.95,3.14,2.00,2.95,2.77,0.00,0.10,0.30,1.60,3.71,4.29,1.60,3.34,3.60,1.40,2.66,3.07,17.00,38.95,42.67,72.00,99.62,94.10,37.00,98.86,130.50,0.12,0.18,0.19,0.17,0.16,0.15,0.25,0.35,0.28,0.12,0.16,0.18,0.25,0.32,0.24,0.12,0.20,0.18,0.13,0.14,0.13,0.24,0.34,0.27,0.12,0.18,0.17,0.24,0.32,0.23,0.00,0.48,1.36,2.00,4.10,4.74,17.00,30.71,29.87,5.00,9.90,10.14,1.34,1.63,1.22,0.30,0.50,0.44,0.00,0.29,0.96,0.00,0.48,1.36,1.60,3.71,4.29,1.60,3.34,3.60,0.20,0.38,1.54,0.00,0.28,1.56,1998.00,1997.76,2.72,18.30,19.79,12.25,699.00,900.67,735.47,785.00,1064.62,820.17,83.70,82.70,6.26,2564.00,4839.48,4680.44,306.00,457.95,352.21,342.00,501.62,378.56,90.90,91.06,4.51,229.00,368.48,350.74,267.00,413.76,375.53,85.90,87.30,6.81,37.00,55.81,50.00,60.00,102.48,102.65,2.00,2.95,3.14,0.90,2.74,3.23,0.40,0.29,1.28,9.00,24.38,28.94,43.00,72.76,70.97,14.00,26.00,30.36,2.00,3.24,3.94,759.00,988.38,777.28,49.00,72.10,66.18,7.00,20.90,22.55,3.00,4.95,8.32,2.00,3.05,3.98,12.00,31.67,45.59,6.00,26.10,51.21,0.00,12.62,27.92,0.00,10.33,23.29,0.00,0.05,0.22,0.00,0.00,0.00,699.00,900.67,735.47,3.00,4.14,4.02,11.00,15.05,13.62,28.00,56.33,59.48,2.86,2.76,1.67,25.00,44.00,46.29,1.00,3.90,7.01,1.00,2.76,3.92,1.00,3.14,3.29,1.00,1.57,2.04,0.00,0.95,1.43,5.00,7.24,6.99,0.38,0.41,0.35,3.00,4.95,5.32,0.00,0.76,1.18,0.00,0.38,0.67,0.00,0.52,0.75,0.00,0.62,1.02,0.00,0.00,0.00,24.00,28.95,22.46,15.00,16.48,13.12,182.00,318.29,372.35,389.00,536.67,488.04,239.00,405.43,369.74,11.00,12.90,10.24,22.00,25.81,20.46,7.00,12.90,12.19,18.00,19.52,15.07,1.00,5.05,8.67,15.00,14.48,11.16,12.00,13.86,12.08,36.00,42.81,33.29,9.00,24.48,28.95,0.00,0.86,1.28,912.00,1251.43,909.01,25.00,93.95,173.76,31.00,70.29,78.20,912.00,1250.95,908.71,14.00,31.86,36.88,8.00,13.43,15.08,6.00,14.48,17.54,591.00,769.33,566.77,3077.00,3833.90,2933.08,1532.00,1961.52,1541.20,17.00,38.95,42.67,21.00,27.14,24.15,6.00,15.57,23.07,13.00,24.95,21.18,9.00,17.81,18.47,650.00,892.67,667.30,37.00,98.86,130.50,18.00,19.86,13.09,7.00,12.52,12.50,7.00,6.95,5.84,3.00,6.67,8.45,13.00,18.67,16.97,1.00,4.10,5.29,12.00,31.67,45.59,12.00,13.86,12.08,15.00,16.48,13.12,0.00,0.43,0.68,0.00,0.14,0.48,0.00,0.05,0.22,59.00,83.00,60.38
Aston Villa,26.00,25.96,3.55,27.00,24.17,11.11,20.00,18.13,12.39,1652.00,1629.13,1057.00,2.00,2.96,4.34,0.00,0.17,0.83,1.00,2.39,3.55,4.00,4.04,3.17,0.00,0.09,0.29,1.40,2.83,3.76,1.40,2.69,3.66,1.00,2.14,2.71,32.00,33.30,29.30,55.00,62.87,56.02,33.00,62.39,74.14,0.11,0.20,0.26,0.08,0.12,0.16,0.21,0.32,0.32,0.11,0.20,0.26,0.21,0.32,0.32,0.10,0.16,0.16,0.09,0.10,0.10,0.21,0.26,0.21,0.10,0.16,0.16,0.21,0.26,0.21,0.00,0.17,0.83,2.00,3.13,4.51,14.00,22.00,24.90,5.00,7.87,10.51,0.78,1.21,1.07,0.35,0.44,0.42,0.00,0.65,1.67,0.00,0.17,0.83,1.40,2.83,3.76,1.40,2.69,3.66,0.00,0.30,1.51,0.00,0.27,1.47,1997.00,1996.70,3.51,18.40,18.11,11.75,573.00,699.61,567.57,790.00,839.70,647.13,80.40,81.30,7.16,2559.00,4136.00,4236.25,293.00,308.09,235.23,329.00,341.26,252.02,89.90,89.04,6.98,184.00,320.35,300.07,242.00,359.09,320.09,85.70,86.83,8.06,48.00,57.74,60.18,82.00,102.83,111.96,1.00,2.39,3.55,1.00,1.83,2.10,-0.10,0.25,1.51,10.00,17.26,18.66,29.00,50.13,49.19,12.00,15.78,16.78,0.00,2.91,4.74,745.00,758.74,578.25,47.00,78.91,86.49,13.00,27.30,35.91,0.00,3.39,5.24,2.00,4.13,5.95,11.00,28.30,40.74,4.00,26.65,54.74,0.00,10.04,22.97,0.00,6.48,14.64,0.00,0.65,1.82,0.00,0.09,0.42,573.00,699.61,567.57,1.00,2.04,2.27,13.00,14.87,12.48,29.00,39.48,37.57,2.07,1.99,1.27,22.00,29.04,26.21,0.00,3.35,7.98,1.00,2.00,2.78,2.00,3.17,4.30,1.00,1.35,1.47,0.00,0.57,0.66,3.00,5.61,6.43,0.30,0.31,0.28,2.00,4.00,4.46,0.00,0.35,0.88,0.00,0.35,0.65,0.00,0.43,1.50,0.00,0.35,0.57,0.00,0.13,0.34,16.00,23.70,20.04,9.00,13.48,12.09,215.00,354.43,389.62,318.00,417.43,365.49,186.00,236.65,214.65,7.00,11.26,10.28,19.00,23.78,20.60,8.00,12.52,11.43,18.00,16.91,11.52,2.00,4.91,6.18,13.00,12.00,8.21,9.00,10.22,9.08,21.00,33.91,28.66,12.00,25.87,26.42,0.00,0.57,1.08,1017.00,999.57,711.88,44.00,121.91,238.15,27.00,43.78,51.96,1017.00,999.39,711.54,30.00,32.65,31.30,13.00,14.83,15.51,11.00,13.61,13.56,635.00,626.30,457.07,3527.00,3400.17,2449.83,1663.00,1782.87,1427.93,32.00,33.30,29.30,19.00,21.00,17.22,4.00,9.39,13.28,17.00,20.43,19.65,14.00,18.04,17.47,764.00,685.61,498.01,33.00,62.39,74.14,20.00,18.13,12.39,6.00,11.74,11.07,6.00,6.04,6.06,2.00,5.57,8.33,15.00,20.52,18.84,0.00,2.04,4.02,11.00,28.30,40.74,9.00,10.22,9.08,9.00,13.48,12.09,0.00,0.17,0.49,0.00,0.09,0.29,0.00,0.17,0.49,62.00,70.00,52.14
Bournemouth,24.50,25.04,3.54,25.50,22.08,11.85,13.00,16.04,12.73,1317.50,1438.42,1074.14,0.50,1.92,3.73,0.00,0.08,0.39,1.00,1.50,1.50,3.00,3.00,2.94,0.00,0.12,0.33,1.15,2.19,3.91,1.15,2.10,3.49,1.10,1.57,1.60,22.00,27.04,26.18,43.50,50.04,45.89,27.50,49.50,59.09,0.01,0.14,0.22,0.08,0.11,0.12,0.15,0.25,0.29,0.01,0.14,0.21,0.15,0.25,0.29,0.06,0.19,0.30,0.08,0.11,0.10,0.15,0.30,0.37,0.06,0.19,0.30,0.15,0.30,0.37,0.00,0.12,0.59,0.50,2.00,4.06,12.50,20.54,26.17,3.50,6.65,9.26,0.95,1.56,1.73,0.25,0.52,0.61,0.00,0.69,1.67,0.00,0.08,0.39,1.15,2.19,3.91,1.15,2.10,3.49,-0.10,-0.19,1.08,-0.10,-0.17,1.08,1997.50,1997.65,3.39,14.60,15.98,11.94,385.50,455.15,383.69,540.50,608.62,495.15,74.75,73.93,6.37,1703.50,3185.35,3668.22,188.00,190.15,141.14,237.50,224.15,164.96,85.20,85.91,6.89,142.50,201.88,208.13,172.50,237.92,230.48,81.00,81.71,10.55,25.50,53.31,65.08,56.50,113.38,141.76,1.00,1.50,1.50,0.95,1.28,1.36,-0.05,-0.07,0.91,10.50,15.88,15.79,25.00,40.88,44.78,12.50,13.50,12.01,2.00,3.38,4.21,463.00,537.65,450.77,42.50,68.81,80.65,6.50,16.08,23.65,1.00,1.81,3.39,2.50,3.50,4.19,14.00,27.04,34.54,4.00,29.46,56.97,0.00,9.00,21.68,0.00,7.35,18.52,0.00,0.35,1.06,0.00,0.15,0.37,385.50,455.15,383.69,1.50,2.15,2.36,16.50,13.77,10.35,30.00,36.38,31.95,2.37,2.53,1.54,25.50,26.85,23.46,1.00,2.69,5.04,1.00,2.35,3.35,1.50,2.15,2.46,1.00,1.31,1.62,1.00,1.04,1.18,3.00,3.19,2.62,0.20,0.23,0.23,2.00,2.38,2.17,0.00,0.12,0.43,0.00,0.19,0.49,0.00,0.23,0.71,0.00,0.12,0.33,0.00,0.15,0.37,24.00,26.46,23.33,14.50,15.65,13.42,138.00,260.69,309.06,284.00,323.62,301.05,160.50,216.92,203.43,9.00,12.42,11.51,27.00,26.19,23.11,13.00,13.77,12.57,17.00,19.15,16.91,3.00,5.81,7.99,12.50,13.35,11.88,7.50,13.62,16.55,33.50,40.08,38.46,22.00,31.12,35.29,0.00,0.62,1.06,733.00,790.69,605.02,43.00,95.15,187.02,14.50,39.54,51.36,733.00,790.58,604.97,17.50,32.92,36.52,10.00,14.46,15.97,8.00,15.62,18.83,365.50,421.15,328.96,2314.50,2536.69,1977.68,1162.00,1324.12,1107.10,22.00,27.04,26.18,17.50,19.50,20.28,2.50,9.19,12.91,16.00,24.27,29.06,9.00,14.73,20.02,421.50,449.65,348.54,27.50,49.50,59.09,13.00,16.04,12.73,5.50,9.50,10.85,5.50,6.04,5.28,3.00,4.42,5.61,12.50,14.31,12.51,1.00,2.15,3.39,14.00,27.04,34.54,7.50,13.62,16.55,14.50,15.65,13.42,0.00,0.12,0.33,0.00,0.27,0.53,0.00,0.04,0.20,72.00,76.96,66.15
Brentford,26.00,25.80,3.59,26.00,22.96,10.35,15.00,16.72,10.88,1321.00,1496.84,910.12,1.00,2.04,2.68,0.00,0.12,0.60,1.00,1.52,1.50,3.00,3.56,2.74,0.00,0.08,0.28,1.20,2.40,2.96,1.20,2.31,2.74,1.40,1.63,1.40,16.00,19.64,17.14,40.00,50.60,40.23,32.00,50.12,51.44,0.08,0.14,0.17,0.09,0.11,0.12,0.15,0.25,0.25,0.08,0.14,0.16,0.15,0.25,0.24,0.07,0.15,0.15,0.11,0.11,0.07,0.19,0.26,0.19,0.07,0.15,0.14,0.19,0.25,0.18,0.00,0.12,0.60,1.00,2.16,2.93,10.00,18.32,18.26,4.00,6.32,7.10,0.87,1.17,0.89,0.24,0.43,0.42,0.00,0.68,1.82,0.00,0.12,0.60,1.20,2.38,2.97,1.20,2.28,2.75,0.00,-0.22,1.12,0.00,-0.24,1.14,1997.00,1996.92,3.66,14.70,16.32,10.37,325.00,496.04,391.12,448.00,661.64,493.16,73.30,73.52,7.04,1748.00,3483.16,4603.35,169.00,222.60,159.85,208.00,262.36,182.60,86.40,84.93,7.70,116.00,206.40,198.35,152.00,252.92,219.46,78.40,78.14,10.61,26.00,54.52,80.14,56.00,108.44,165.24,1.00,1.36,1.44,1.00,1.52,1.42,-0.10,-0.27,0.80,10.00,12.72,11.36,29.00,38.60,31.76,10.00,12.76,11.16,2.00,3.80,4.97,409.00,590.28,435.86,49.00,68.60,98.09,6.00,17.56,33.60,1.00,2.76,3.84,3.00,4.52,5.64,16.00,25.96,29.15,15.00,27.76,30.12,0.00,6.44,15.95,0.00,2.80,7.61,0.00,1.76,4.11,0.00,0.40,1.19,325.00,496.04,391.12,2.00,2.76,2.44,13.00,13.64,8.92,24.00,31.16,25.09,2.26,2.02,1.03,18.00,21.84,17.14,0.00,3.68,8.15,1.00,1.28,1.62,2.00,2.16,2.17,1.00,1.64,2.12,0.00,0.56,0.71,3.00,3.04,2.91,0.13,0.22,0.22,2.00,2.24,2.24,0.00,0.20,0.58,0.00,0.12,0.33,0.00,0.24,0.44,0.00,0.24,0.52,0.00,0.00,0.00,17.00,25.60,20.26,12.00,15.44,12.45,128.00,310.36,382.25,281.00,325.00,248.77,162.00,202.92,157.07,8.00,11.96,9.88,19.00,26.80,24.61,10.00,14.84,16.38,15.00,18.16,14.39,3.00,5.44,7.42,10.00,12.72,10.66,9.00,14.64,15.18,29.00,40.24,34.16,17.00,34.72,43.32,0.00,0.64,1.11,620.00,831.60,572.40,32.00,113.20,253.83,24.00,38.08,34.11,620.00,831.48,572.35,14.00,21.88,18.75,8.00,9.12,6.68,7.00,10.12,10.73,358.00,430.76,295.39,1633.00,2193.04,1469.82,846.00,1134.28,845.64,15.00,18.72,16.95,11.00,13.44,12.73,3.00,6.04,9.09,17.00,21.44,17.71,8.00,10.40,9.10,417.00,489.12,329.72,32.00,50.04,51.46,15.00,16.32,11.17,5.00,9.68,10.05,5.00,6.36,6.32,1.00,4.60,7.94,11.00,16.44,13.30,2.00,2.84,3.93,16.00,25.96,29.15,9.00,14.64,15.18,12.00,15.44,12.45,0.00,0.12,0.33,0.00,0.04,0.20,0.00,0.00,0.00,60.00,73.16,52.27
Brighton,23.50,24.79,5.70,20.00,20.93,8.75,15.00,14.89,8.60,1344.50,1338.11,768.79,0.00,1.61,2.04,0.00,0.18,0.77,1.00,1.29,2.05,3.00,3.14,2.21,0.00,0.11,0.31,1.00,2.07,2.63,1.00,1.90,2.08,0.90,1.50,1.69,21.00,30.82,31.55,43.00,63.50,67.58,41.00,63.04,74.22,0.00,0.12,0.16,0.04,0.09,0.11,0.22,0.21,0.19,0.00,0.11,0.15,0.22,0.20,0.18,0.08,0.14,0.15,0.10,0.11,0.09,0.23,0.25,0.20,0.08,0.13,0.14,0.23,0.24,0.19,0.00,0.21,0.96,0.00,1.79,2.42,14.00,19.75,18.04,5.50,7.07,7.02,1.18,1.44,1.25,0.41,0.52,0.50,0.00,0.39,1.07,0.00,0.18,0.77,1.00,2.07,2.63,1.00,1.90,2.08,-0.30,-0.28,1.06,-0.30,-0.29,1.07,1999.50,1997.86,5.63,14.95,14.87,8.54,500.50,778.00,777.75,617.50,892.61,852.68,84.10,84.21,5.40,1599.50,4059.07,5040.55,304.00,412.82,380.96,328.00,444.79,395.86,91.60,91.58,4.35,167.00,294.68,342.53,192.50,325.39,363.41,86.50,86.29,7.65,18.50,46.29,59.36,28.50,77.29,99.39,1.00,1.29,2.05,0.90,1.56,1.91,-0.25,-0.21,0.90,9.50,15.29,19.74,23.00,53.00,66.59,7.50,13.71,16.60,1.00,2.89,5.67,561.50,832.11,795.20,35.00,57.50,68.49,6.00,18.25,30.39,1.50,2.21,2.28,1.00,2.71,4.27,7.00,23.96,46.41,6.50,19.29,26.43,0.00,7.36,25.10,0.00,3.07,10.69,0.00,2.61,10.81,0.00,0.18,0.67,500.50,778.00,777.75,2.00,3.00,2.64,9.50,11.68,9.27,23.00,36.00,37.72,2.55,2.43,1.30,16.00,26.71,24.71,0.00,3.11,10.16,0.50,1.93,3.28,1.00,2.50,3.25,0.00,1.36,2.18,0.00,0.39,0.57,2.00,3.18,3.87,0.15,0.20,0.18,2.00,2.11,2.30,0.00,0.18,0.55,0.00,0.32,0.98,0.00,0.32,0.61,0.00,0.21,0.57,0.00,0.04,0.19,19.50,22.96,17.42,13.50,13.07,11.21,132.50,337.04,422.03,285.00,466.75,474.60,151.00,240.75,228.86,9.00,10.93,9.78,18.00,23.39,18.04,9.50,12.46,9.67,11.50,15.50,14.07,2.00,4.96,8.47,9.50,10.54,8.97,8.50,10.29,8.94,29.00,33.25,24.66,13.00,21.43,22.93,0.00,0.75,1.14,719.00,1037.68,910.46,25.50,114.07,203.53,20.50,38.50,46.84,719.00,1037.46,910.33,17.00,25.50,31.34,6.00,10.57,12.94,6.00,11.50,15.36,466.50,678.04,618.18,2217.00,3313.89,2943.75,1026.50,1744.07,1669.23,21.00,30.82,31.55,16.50,20.79,18.30,2.50,9.57,17.51,15.00,20.46,18.78,6.50,12.18,13.99,512.00,769.04,717.06,41.00,63.04,74.22,15.00,14.89,8.60,5.50,8.54,9.27,5.00,6.04,4.52,3.00,4.68,5.37,12.50,16.21,14.45,1.50,2.96,4.06,7.00,23.96,46.41,8.50,10.29,8.94,13.50,13.07,11.21,0.00,0.21,0.57,0.00,0.21,0.42,0.00,0.07,0.26,43.50,62.39,45.85
